Empresa;Precio Actual;Precio Objetivo;PER Promedio;EPS Promedio;Diff
LPLA;376,75;212,5565823;23,32710517;10,72;-44%
LPX;94,5;104,4101949;13,01913337;9,435;10%
LRCX;82,25;59,81839048;22,57476648;3,1174;-27%
LSCC;56;72,61409653;93,87730644;0,91;
LSTR;143,8099976;163,3239262;22,77620343;8,436252167;14%
LULU;304,2000122;334,0973406;39,29995521;10,00142857;
LUV;31,27000046;32,33114143;34,52644808;1,101666667;
LW;51,24000168;97,28478291;31,31400432;3,655;
LYB;60,68000031;97,18281984;11,39907569;10,03;60%
M;12,34000015;33,08290344;12,13034016;3,208571429;168%
MA;578,2700195;362,7281169;37,9211162;11,25333333;
MAA;163,6300049;150,273807;37,3242887;4,736666667;
MAN;44,18000031;83,10743487;20,19417269;4,841666667;88%
MANH;196;168,5063453;76,68965539;2,585;
MAR;271,9599915;199,118284;34,33172517;6,823333333;
MAS;69,16000366;66,38288074;24,40189903;3,2004684;-4%
MAT;19;20,28477682;14,23326639;1,676666667;7%
MCD;311,9200134;239,9076294;26,74184231;10,55440633;-23%
MCHP;60,95999908;106,2902451;42,63462228;2,933;
MCK;687,5200195;461,5954798;24,67677245;22,00666667;-33%
MCO;487,0599976;338,849316;38,1845071;10,44;
MDLZ;65,83000183;57,89333816;21,95910035;3,101666667;-12%
MDT;85,80999756;89,06809269;35,9677316;2,913333333;
MDU;16,70999908;12,32533058;8,406022564;1,725;-26%
MEDP;313,7399902;245,9412158;32,74958765;8,835;
MET;80,63999939;79,5874003;17,45644806;5,363762167;-1%
META;639,4299927;318,9781421;22,28875881;16,83666667;-50%
MIDD;146,8999939;143,4163364;22,79452872;7,402;-2%
MKC;76,48999786;68,4645355;29,43951475;2,736;-10%
MKTX;218,0899963;259,9089438;43,79688155;6,981666667;
MLM;553,0599976;453,7750892;26,62387397;20,05166667;-18%
MMC;227,0299988;159,6778016;26,44000524;7,105;-30%
MNST;61,36000061;44,17804163;37,57168672;1,383333333;
MO;56,95000076;61,4885707;18,42242632;3,926708333;8%
MOH;327,6900024;290,2521422;21,31257335;16,0221435;-11%
MORN;309,3599854;326,8063765;73,84342317;5,206666667;
MOS;32,95000076;69,30972025;20,55089918;3,967750833;110%
MPWR;709,2299805;776,6091251;53,518957;17,07166667;
MRK;80,43000031;630,6244612;149,7102861;4,955645667;
MS;127,0599976;90,02089377;14,48465017;7,311666667;-29%
MSA;161,5700073;378,7442622;123,6009667;3,605;
MSCI;568,9699707;508,7021963;50,56807538;11,835;
MSFT;449,2600098;281,4047347;33,69955148;9,824;
MSI;412,9100037;286,209564;38,85944999;8,665;
MSM;78,83000183;75,36416463;18,01375926;4,922;-4%
MTB;184,6999969;138,3937002;11,56364474;14,08;-25%
MTCH;28,39999962;79,9329071;56,99316014;1,65;
MTD;1174,589966;1223,913803;43,20646316;33,326;
MTDR;44,68999863;43,93281656;7,436786552;6,95;-2%
MTG;26,57999992;15,53034894;7,36573784;2,480538833;-42%
MTN;148,8000031;236,6569798;44,37678932;6,274;
MTSI;122,6100006;157,4599348;67,03750859;2,763333333;
MUSA;439,480011;286,3944842;15,1136971;22,29333333;-35%
NBIX;120,4300003;118,5037021;64,99586018;2,145;
NDAQ;80,75;58,93360269;31,93464094;2,171111;
NDSN;203;197,1753195;27,36044397;8,478333333;-3%
NEE;69,69000244;76,65944359;33,69275252;2,676765;
NEU;636,6500244;403,6838595;14,24268069;33,345;-37%
NFG;80,41000366;103,0584865;31,28910407;3,875;
NFLX;1110;525,7032555;43,14436123;14,335;
NI;38,31999969;26,05944898;19,58988835;1,565;-32%
NKE;62,58000183;94,94968172;30,34101618;3,681666667;52%
NNN;41,5;39,06877346;24,21242997;1,898333333;-6%
NOC;479,1600037;459,5140532;17,12942866;31,56;-4%
NOW;1015,599976;1072,390044;288,3737933;4,375;
NSA;36,29000092;41,83709676;41,07380848;1,198333333;
NSC;239,1100006;222,8681408;22,42773946;11,690782;-7%
NTAP;98,43000031;72,30656932;19,53307742;4,355;-27%
